3,A000,"Cholera due to Vibrio cholerae 01, biovar cholerae"
3,A001,"Cholera due to Vibrio cholerae 01, biovar eltor"
3,A009,"Cholera, unspecified"
3,A010,Typhoid fever
3,A011,Paratyphoid fever A
3,A012,Paratyphoid fever B
3,A013,Paratyphoid fever C
3,A014,"Paratyphoid fever, unspecified"
3,A020,Salmonella enteritis
3,A021,Salmonella septicaemia
3,A022,Localized salmonella infections
3,A028,Other specified salmonella infections
3,A029,"Salmonella infection, unspecified"
3,A030,Shigellosis due to Shigella dysenteriae
3,A031,Shigellosis due to Shigella flexneri
3,A032,Shigellosis due to Shigella boydii
3,A033,Shigellosis due to Shigella sonnei
3,A038,Other shigellosis
3,A039,"Shigellosis, unspecified"
3,A040,Enteropathogenic Escherichia coli infection
3,A041,Enterotoxigenic Escherichia coli infection
3,A042,Enteroinvasive Escherichia coli infection
3,A043,Enterohaemorrhagic Escherichia coli infection
3,A044,Other intestinal Escherichia coli infections
3,A045,Campylobacter enteritis
3,A046,Enteritis due to Yersinia enterocolitica
3,A047,"Enterocolitis due to Clostridium difficile  Antibiotic  associated  colitis   Pseudomembranous enterocolitis"
3,A048,Other specified bacterial intestinal infections
3,A049,"Bacterial intestinal infection, unspecified"
3,A050,Foodborne staphylococcal intoxication
3,A051,Botulism
3,A052,Foodborne Clostridium perfringens [Clostridium welchii]
3,A053,Foodborne Vibrio parahaemolyticus intoxication
3,A054,Foodborne Bacillus cereus intoxication
3,A058,Other specified bacterial foodborne intoxications
3,A059,"Bacterial foodborne intoxication, unspecified"
3,A060,Acute amoebic dysentery
3,A061,Chronic intestinal amoebiasis
3,A062,Amoebic nondysenteric colitis
3,A063,Amoeboma of intestine
3,A064,Amoebic liver abscess
3,A065,Amoebic lung abscess (J99.8*)
3,A066,Amoebic brain abscess (G07*)
3,A067,Cutaneous amoebiasis
3,A068,Amoebic infection of other sites
3,A069,"Amoebiasis, unspecified"
3,A070,Balantidiasis
3,A071,Giardiasis [lambliasis]
3,A072,Cryptosporidiosis
3,A073,Isosporiasis
3,A078,Other specified protozoal intestinal diseases
3,A079,"Protozoal intestinal disease, unspecified"
3,A080,Rotaviral enteritis
3,A081,Acute gastroenteropathy due to Norwalk agent
3,A082,Adenoviral enteritis
3,A083,Other viral enteritis
3,A084,"Viral intestinal infection, unspecified"
3,A085,Other specified intestinal infections
3,A090,Other and unspecified gastroenteritis and colitis of infectious origin 
3,A099,Gastroenteritis and colitis of unspecified origin 
3,A150,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture"
3,A151,"Tuberculosis of lung, confirmed by culture only"
3,A152,"Tuberculosis of lung, confirmed histologically"
3,A153,"Tuberculosis of lung, confirmed by unspecified means"
3,A154,"Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically"
3,A155,"Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically"
3,A156,"Tuberculous pleurisy, confirmed bacteriologically and histologically"
3,A157,"Primary respiratory tuberculosis, confirmed bacteriologically and histologically"
3,A158,"Other respiratory tuberculosis, confirmed bacteriologically and histologically"
3,A159,"Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically"
3,A160,"Tuberculosis of lung, bacteriologically and histologically negative"
3,A161,"Tuberculosis of lung ,bacteriological and histological examination not done"
3,A162,"Tuberculosis of lung, without mention of bacteriological or histological confirmation"
3,A163,"Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation"
3,A164,"Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation"
3,A165,"Tuberculous pleurisy, without mention of bacteriological or histological confirmation"
3,A167,Primary respiratory tuberculosis without mention of bacteriological or histological confirmation
